epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2477,0,0,0,46.0129,0,0,0,0,0,0,0,0,0,0,0,0,40.0586,0,0.00028339,0.00028339,0.00028339
2,54.6768,0,0,0,25.8465,0,0,0,0,0,0,0,0,0,0,0,0,14.5468,0,0.000571898,0.000571898,0.000571898
3,78.0813,0,0,0,18.0985,0,0,0,0,0,0,0,0,0,0,0,0,22.7118,0,0.000848523,0.000848523,0.000848523
4,106.718,0,0,0,13.5393,0,0,0,0,0,0,0,0,0,0,0,0,28.0549,0,0.00111327,0.00111327,0.00111327
5,125.299,0,0,0,10.2355,0,0,0,0,0,0,0,0,0,0,0,0,16.791,0,0.00136613,0.00136613,0.00136613
6,144.293,0,0,0,7.56862,0,0,0,0,0,0,0,0,0,0,0,0,11.8078,0,0.00150197,0.00150197,0.00150197
7,159.828,0,0,0,5.43414,0,0,0,0,0,0,0,0,0,0,0,0,9.76056,0,0.00146896,0.00146896,0.00146896
8,172.494,0,0,0,3.92256,0,0,0,0,0,0,0,0,0,0,0,0,6.2361,0,0.00143595,0.00143595,0.00143595
9,184.061,0,0,0,2.7847,0,0,0,0,0,0,0,0,0,0,0,0,4.13835,0,0.00140295,0.00140295,0.00140295
10,196.246,0,0,0,1.93863,0,0,0,0,0,0,0,0,0,0,0,0,3.14815,0,0.00136994,0.00136994,0.00136994
11,209.148,0,0,0,1.33465,0,0,0,0,0,0,0,0,0,0,0,0,2.11663,0,0.00133693,0.00133693,0.00133693
12,224.782,0,0,0,0.91924,0,0,0,0,0,0,0,0,0,0,0,0,1.33052,0,0.00130393,0.00130393,0.00130393
13,242.362,0,0,0,0.64425,0,0,0,0,0,0,0,0,0,0,0,0,0.98342,0,0.00127092,0.00127092,0.00127092
14,256.937,0,0,0,0.45464,0,0,0,0,0,0,0,0,0,0,0,0,0.6514,0,0.00123791,0.00123791,0.00123791
15,270.911,0,0,0,0.30549,0,0,0,0,0,0,0,0,0,0,0,0,0.47558,0,0.00120491,0.00120491,0.00120491
