epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2744,2.19184,2.24688,0.68722,2.74634,1.892,0.37203,0.3704,0.31038,0.13029,0.39057,0.38447,0.32691,0.13594,1.95211,2.3171,0.66501,2.95751,1.68592,0.00028339,0.00028339,0.00028339
2,86.5212,1.7182,1.61998,0.60994,1.4239,1.43609,0.43319,0.46433,0.42144,0.19658,0.43542,0.46622,0.42367,0.20143,1.80896,2.03128,0.60059,1.55001,1.53868,0.000571898,0.000571898,0.000571898
3,132.784,1.65843,1.29705,0.56696,1.21131,1.38931,0.91708,0.3961,0.42761,0.2124,0.92323,0.40278,0.43064,0.25785,1.63758,1.54187,0.53934,1.41567,1.45434,0.000848523,0.000848523,0.000848523
4,179.773,1.62911,1.01393,0.54192,1.17529,1.39835,0.92656,0.32543,0.33602,0.15551,0.95169,0.31048,0.33921,0.24547,1.77839,1.17302,0.46724,1.12362,1.4785,0.00111327,0.00111327,0.00111327
5,247.413,1.61528,0.87573,0.50679,1.08984,1.36324,0.90717,0.09298,0.09009,0.04563,0.90302,0.09203,0.08962,0.06926,1.61259,1.06063,0.41471,1.20228,1.44641,0.00136613,0.00136613,0.00136613
6,367.197,1.58482,0.80691,0.48032,1.07792,1.3388,0.43835,0.20531,0.19984,0.11807,0.43536,0.20436,0.19668,0.12347,1.62668,0.87307,0.37038,0.98965,1.36464,0.00150197,0.00150197,0.00150197
7,464.713,1.59365,0.76339,0.45383,1.02521,1.33562,0.94615,0.21822,0.32138,0.18153,0.93428,0.21318,0.31382,0.23745,1.60329,0.82121,0.32977,0.93971,1.29844,0.00146896,0.00146896,0.00146896
8,520.919,1.5792,0.6815,0.42133,1.0286,1.31076,0.95031,0.23814,0.28984,0.15744,0.94087,0.23435,0.28117,0.22961,1.55168,0.75584,0.29022,0.94606,1.29243,0.00143595,0.00143595,0.00143595
9,573.847,1.51256,0.66324,0.39846,1.01504,1.30479,0.96836,0.25806,0.27222,0.14045,0.95459,0.25047,0.25914,0.2227,1.61354,0.75238,0.2662,0.91431,1.30941,0.00140295,0.00140295,0.00140295
10,634.488,1.51444,0.59719,0.3702,0.919,1.28923,0.74324,0.3685,0.36179,0.21395,0.72896,0.36186,0.35453,0.289,1.58341,0.70577,0.24348,0.97414,1.31466,0.00136994,0.00136994,0.00136994
11,695.248,1.50105,0.59491,0.36234,0.9302,1.27962,0.68015,0.35712,0.35277,0.21367,0.67496,0.35237,0.34823,0.28559,1.5213,0.66639,0.23692,0.86116,1.26542,0.00133693,0.00133693,0.00133693
12,787.466,1.50384,0.56145,0.33476,0.908,1.2856,0.94783,0.17457,0.17757,0.09351,0.95641,0.17552,0.17739,0.15663,1.54616,0.68236,0.22941,0.86654,1.33506,0.00130393,0.00130393,0.00130393
13,903.686,1.52659,0.53074,0.32838,0.87622,1.30633,0.59723,0.30493,0.29868,0.17596,0.59021,0.30114,0.29243,0.23168,1.5652,0.62143,0.22424,0.8207,1.33613,0.00127092,0.00127092,0.00127092
14,988.231,1.52246,0.57992,0.33186,0.88855,1.28609,0.91308,0.27932,0.28055,0.1616,0.90392,0.27614,0.27438,0.21417,1.55923,0.63372,0.2106,0.81197,1.32228,0.00123791,0.00123791,0.00123791
15,1089.23,1.49548,0.51895,0.32255,0.8708,1.28508,0.4436,0.14801,0.14748,0.06724,0.45963,0.15275,0.14924,0.1337,1.81628,0.61466,0.21368,0.839,1.39392,0.00120491,0.00120491,0.00120491
