epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2925,0,0,0,46.7942,0,0,0,0,0,0,0,0,0,0,0,0,69.0473,0,0.00028339,0.00028339,0.00028339
2,96.7712,0,0,0,25.7506,0,0,0,0,0,0,0,0,0,0,0,0,26.6372,0,0.000571898,0.000571898,0.000571898
3,131.746,0,0,0,18.1421,0,0,0,0,0,0,0,0,0,0,0,0,21.0311,0,0.000848523,0.000848523,0.000848523
4,155.357,0,0,0,13.9733,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0.00111327,0.00111327,0.00111327
5,179.885,0,0,0,10.6393,0,0,0,0,0,0,0,0,0,0,0,0,14.3014,0,0.00136613,0.00136613,0.00136613
6,215.12,0,0,0,8.07566,0,0,0,0,0,0,0,0,0,0,0,0,488.035,0,0.00150197,0.00150197,0.00150197
7,238.24,0,0,0,5.92053,0,0,0,0,0,0,0,0,0,0,0,0,8.84844,0,0.00146896,0.00146896,0.00146896
8,256.644,0,0,0,4.49556,0,0,0,0,0,0,0,0,0,0,0,0,6.96235,0,0.00143595,0.00143595,0.00143595
9,280.361,0,0,0,3.14672,0,0,0,0,0,0,0,0,0,0,0,0,597.327,0,0.00140295,0.00140295,0.00140295
10,301.337,0,0,0,2.21707,0,0,0,0,0,0,0,0,0,0,0,0,3.39161,0,0.00136994,0.00136994,0.00136994
11,319.345,0,0,0,1.6202,0,0,0,0,0,0,0,0,0,0,0,0,2.84855,0,0.00133693,0.00133693,0.00133693
12,339.713,0,0,0,1.1162,0,0,0,0,0,0,0,0,0,0,0,0,1.94764,0,0.00130393,0.00130393,0.00130393
13,377.945,0,0,0,0.77261,0,0,0,0,0,0,0,0,0,0,0,0,1.40593,0,0.00127092,0.00127092,0.00127092
14,399.301,0,0,0,0.54376,0,0,0,0,0,0,0,0,0,0,0,0,0.8711,0,0.00123791,0.00123791,0.00123791
15,419.208,0,0,0,0.37964,0,0,0,0,0,0,0,0,0,0,0,0,0.64381,0,0.00120491,0.00120491,0.00120491
16,436.396,0,0,0,0.26183,0,0,0,0,0,0,0,0,0,0,0,0,0.4278,0,0.0011719,0.0011719,0.0011719
17,454.087,0,0,0,0.18316,0,0,0,0,0,0,0,0,0,0,0,0,0.29721,0,0.00113889,0.00113889,0.00113889
18,471.245,0,0,0,0.13373,0,0,0,0,0,0,0,0,0,0,0,0,0.21971,0,0.00110589,0.00110589,0.00110589
19,487.677,0,0,0,0.09297,0,0,0,0,0,0,0,0,0,0,0,0,0.12564,0,0.00107288,0.00107288,0.00107288
20,502.902,0,0,0,0.05862,0,0,0,0,0,0,0,0,0,0,0,0,0.0895,0,0.00103987,0.00103987,0.00103987
21,519.477,0,0,0,0.03965,0,0,0,0,0,0,0,0,0,0,0,0,0.05745,0,0.00100687,0.00100687,0.00100687
22,536.278,0,0,0,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0.04755,0,0.000973861,0.000973861,0.000973861
23,550.483,0,0,0,0.02239,0,0,0,0,0,0,0,0,0,0,0,0,0.04195,0,0.000940855,0.000940855,0.000940855
24,565.684,0,0,0,0.01948,0,0,0,0,0,0,0,0,0,0,0,0,0.02949,0,0.000907848,0.000907848,0.000907848
25,579.905,0,0,0,0.01186,0,0,0,0,0,0,0,0,0,0,0,0,0.01769,0,0.000874842,0.000874842,0.000874842
26,593.746,0,0,0,0.00669,0,0,0,0,0,0,0,0,0,0,0,0,0.00984,0,0.000841835,0.000841835,0.000841835
27,606.91,0,0,0,0.00471,0,0,0,0,0,0,0,0,0,0,0,0,0.00872,0,0.000808828,0.000808828,0.000808828
28,621.326,0,0,0,0.00433,0,0,0,0,0,0,0,0,0,0,0,0,0.00749,0,0.000775822,0.000775822,0.000775822
29,639.224,0,0,0,0.00388,0,0,0,0,0,0,0,0,0,0,0,0,0.00709,0,0.000742815,0.000742815,0.000742815
30,658.001,0,0,0,0.00331,0,0,0,0,0,0,0,0,0,0,0,0,0.00655,0,0.000709809,0.000709809,0.000709809
31,679.167,0,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0.00644,0,0.000676802,0.000676802,0.000676802
32,723.626,0,0,0,0.00293,0,0,0,0,0,0,0,0,0,0,0,0,0.00642,0,0.000643795,0.000643795,0.000643795
33,745.214,0,0,0,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0.00641,0,0.000610789,0.000610789,0.000610789
34,770.091,0,0,0,0.00286,0,0,0,0,0,0,0,0,0,0,0,0,0.00634,0,0.000577782,0.000577782,0.000577782
35,790.479,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0.00607,0,0.000544776,0.000544776,0.000544776
36,805.981,0,0,0,0.00268,0,0,0,0,0,0,0,0,0,0,0,0,0.00576,0,0.000511769,0.000511769,0.000511769
37,827.755,0,0,0,0.00248,0,0,0,0,0,0,0,0,0,0,0,0,0.00571,0,0.000478762,0.000478762,0.000478762
38,848.721,0,0,0,0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0.00525,0,0.000445756,0.000445756,0.000445756
39,865.452,0,0,0,0.00232,0,0,0,0,0,0,0,0,0,0,0,0,0.00523,0,0.000412749,0.000412749,0.000412749
40,881.027,0,0,0,0.00224,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0,0.000379743,0.000379743,0.000379743
41,896.221,0,0,0,0.00212,0,0,0,0,0,0,0,0,0,0,0,0,0.00411,0,0.000346736,0.000346736,0.000346736
42,913.241,0,0,0,0.00187,0,0,0,0,0,0,0,0,0,0,0,0,0.00399,0,0.000313729,0.000313729,0.000313729
43,931.168,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0.000280723,0.000280723,0.000280723
44,948.069,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0.00347,0,0.000247716,0.000247716,0.000247716
45,970.045,0,0,0,0.00155,0,0,0,0,0,0,0,0,0,0,0,0,0.00331,0,0.00021471,0.00021471,0.00021471
46,989.236,0,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0.00331,0,0.000181703,0.000181703,0.000181703
47,1010.47,0,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0.00328,0,0.000148696,0.000148696,0.000148696
48,1027.93,0,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,0.00011569,0.00011569,0.00011569
49,1044.9,0,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,8.26832e-05,8.26832e-05,8.26832e-05
50,1061.59,0,0,0,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0.00324,0,4.96766e-05,4.96766e-05,4.96766e-05
